Run started: 2026-07-25 00:01:48.679662
Total experiments: 245
Max workers: 11

[1/245] ✓ baseline | iris (4m24s, code=0)
[194/245] ✓ heartDisease | n=5 mr=5% freq=25 (7m16s, code=0)
[195/245] ✓ pima | n=5 mr=2% freq=25 (12m19s, code=0)
[196/245] ✓ iris | n=5 mr=15% freq=25 (3m44s, code=0)
[197/245] ✓ wine | n=5 mr=15% freq=25 (5m12s, code=0)
[198/245] ✓ australian | n=5 mr=5% freq=25 (11m55s, code=0)
[199/245] ✓ heartDisease | n=5 mr=10% freq=25 (7m14s, code=0)
[200/245] ✓ pima | n=5 mr=5% freq=25 (12m35s, code=0)
[201/245] ✓ iris | n=10 mr=2% freq=25 (3m36s, code=0)
[202/245] ✓ wine | n=10 mr=2% freq=25 (5m11s, code=0)
[203/245] ✓ australian | n=5 mr=10% freq=25 (11m55s, code=0)
[204/245] ✓ heartDisease | n=5 mr=15% freq=25 (7m17s, code=0)
[205/245] ✓ pima | n=5 mr=10% freq=25 (12m18s, code=0)
[206/245] ✓ iris | n=10 mr=5% freq=25 (3m40s, code=0)
[207/245] ✓ wine | n=10 mr=5% freq=25 (5m12s, code=0)
[208/245] ✓ heartDisease | n=10 mr=2% freq=25 (7m03s, code=0)
[209/245] ✓ australian | n=5 mr=15% freq=25 (12m02s, code=0)
[210/245] ✓ pima | n=5 mr=15% freq=25 (12m22s, code=0)
[211/245] ✓ iris | n=10 mr=10% freq=25 (3m38s, code=0)
[212/245] ✓ wine | n=10 mr=10% freq=25 (5m10s, code=0)
[213/245] ✓ australian | n=10 mr=2% freq=25 (11m59s, code=0)
[214/245] ✓ heartDisease | n=10 mr=5% freq=25 (7m05s, code=0)
[215/245] ✓ pima | n=10 mr=2% freq=25 (12m07s, code=0)
[216/245] ✓ iris | n=10 mr=15% freq=25 (3m38s, code=0)
[217/245] ✓ wine | n=10 mr=15% freq=25 (5m11s, code=0)
[218/245] ✓ australian | n=10 mr=5% freq=25 (11m56s, code=0)
[219/245] ✓ heartDisease | n=10 mr=10% freq=25 (7m01s, code=0)
[220/245] ✓ pima | n=10 mr=5% freq=25 (12m15s, code=0)
[221/245] ✓ iris | n=15 mr=2% freq=25 (3m35s, code=0)
[222/245] ✓ wine | n=15 mr=2% freq=25 (5m06s, code=0)
[223/245] ✓ heartDisease | n=10 mr=15% freq=25 (7m07s, code=0)
[224/245] ✓ australian | n=10 mr=10% freq=25 (11m58s, code=0)
[225/245] ✓ pima | n=10 mr=10% freq=25 (12m18s, code=0)
[226/245] ✓ iris | n=15 mr=5% freq=25 (3m35s, code=0)
[227/245] ✓ wine | n=15 mr=5% freq=25 (5m03s, code=0)
[228/245] ✓ heartDisease | n=15 mr=2% freq=25 (6m58s, code=0)
[229/245] ✓ australian | n=10 mr=15% freq=25 (11m54s, code=0)
[230/245] ✓ pima | n=10 mr=15% freq=25 (12m11s, code=0)
[231/245] ✓ iris | n=15 mr=10% freq=25 (3m36s, code=0)
[232/245] ✓ wine | n=15 mr=10% freq=25 (5m05s, code=0)
[233/245] ✓ heartDisease | n=15 mr=5% freq=25 (6m55s, code=0)
[234/245] ✓ australian | n=15 mr=2% freq=25 (11m34s, code=0)
[235/245] ✓ pima | n=15 mr=2% freq=25 (11m55s, code=0)
[236/245] ✓ iris | n=15 mr=15% freq=25 (3m33s, code=0)
[237/245] ✓ wine | n=15 mr=15% freq=25 (5m03s, code=0)
[238/245] ✓ australian | n=15 mr=5% freq=25 (11m33s, code=0)
[239/245] ✓ heartDisease | n=15 mr=10% freq=25 (6m47s, code=0)
[240/245] ✓ pima | n=15 mr=5% freq=25 (11m41s, code=0)
[241/245] ✓ australian | n=15 mr=10% freq=25 (10m44s, code=0)
[242/245] ✓ heartDisease | n=15 mr=15% freq=25 (6m01s, code=0)
[243/245] ✓ pima | n=15 mr=10% freq=25 (10m49s, code=0)
[244/245] ✓ australian | n=15 mr=15% freq=25 (9m45s, code=0)
[245/245] ✓ pima | n=15 mr=15% freq=25 (9m46s, code=0)
