dataset,config,mean_acc_deme,mean_acc_tourn,acc_diff,W_acc,p_acc,sig_acc,mean_bd_deme,mean_bd_tourn,bd_diff,W_bd,p_bd,sig_bd
australian,demes_10_mr2_freq10,0.8562,0.8581,-0.0019,122.0,0.8836,=,0.1067,0.1117,-0.0051,207.5,0.6071,=
australian,demes_10_mr2_freq25,0.8583,0.8581,0.0002,82.5,0.6135,=,0.1179,0.1117,0.0061,161.0,0.1414,=
australian,demes_10_mr2_freq5,0.8533,0.8581,-0.0048,59.5,0.1513,=,0.1127,0.1117,0.001,213.0,0.6884,=
australian,demes_10_mr5_freq1,0.8552,0.8581,-0.0029,73.5,0.2377,=,0.0889,0.1117,-0.0229,212.0,0.6733,=
australian,demes_10_mr5_freq10,0.8562,0.8581,-0.0019,51.5,0.629,=,0.0919,0.1117,-0.0199,224.5,0.8693,=
australian,demes_10_mr5_freq25,0.8558,0.8581,-0.0023,103.0,0.4403,=,0.1059,0.1117,-0.0059,198.5,0.6812,=
australian,demes_10_mr5_freq5,0.8556,0.8581,-0.0025,110.5,0.598,=,0.1257,0.1117,0.0139,166.0,0.3995,=
australian,demes_15_mr10_freq1,0.8562,0.8581,-0.0019,112.5,0.6456,=,0.0947,0.1117,-0.0171,189.0,0.5377,=
australian,demes_15_mr10_freq10,0.8535,0.8581,-0.0047,82.0,0.1466,=,0.0569,0.1117,-0.0548,117.0,0.0175,-
australian,demes_15_mr10_freq25,0.8552,0.8581,-0.0029,98.5,0.5536,=,0.0995,0.1117,-0.0122,218.5,0.7734,=
australian,demes_15_mr10_freq5,0.8535,0.8581,-0.0047,80.0,0.2155,=,0.0717,0.1117,-0.04,145.5,0.0734,=
australian,demes_15_mr15_freq1,0.8552,0.8581,-0.0029,105.5,0.3211,=,0.0483,0.1117,-0.0635,81.5,0.0033,-
australian,demes_15_mr15_freq10,0.8543,0.8581,-0.0039,52.0,0.1416,=,0.0549,0.1117,-0.0569,92.0,0.0066,-
australian,demes_15_mr15_freq25,0.8554,0.8581,-0.0027,96.0,0.3126,=,0.0782,0.1117,-0.0335,183.0,0.3184,=
australian,demes_15_mr15_freq5,0.8576,0.8581,-0.0006,147.0,0.9311,=,0.0576,0.1117,-0.0541,110.5,0.0121,-
australian,demes_15_mr2_freq1,0.8568,0.8581,-0.0014,131.5,0.8417,=,0.111,0.1117,-0.0007,199.0,0.4908,=
australian,demes_15_mr2_freq10,0.856,0.8581,-0.0021,132.5,0.6156,=,0.1038,0.1117,-0.0079,217.0,0.7499,=
australian,demes_15_mr2_freq25,0.8533,0.8581,-0.0048,62.5,0.1097,=,0.1222,0.1117,0.0105,168.0,0.1846,=
australian,demes_15_mr2_freq5,0.8564,0.8581,-0.0017,108.5,0.8053,=,0.0957,0.1117,-0.016,184.5,0.3234,=
australian,demes_15_mr5_freq1,0.8564,0.8581,-0.0017,71.5,0.341,=,0.0837,0.1117,-0.0281,178.0,0.2623,=
australian,demes_15_mr5_freq10,0.8517,0.8581,-0.0064,80.0,0.0447,-,0.0894,0.1117,-0.0223,222.0,0.829,=
australian,demes_15_mr5_freq25,0.8519,0.8581,-0.0062,50.5,0.0697,=,0.103,0.1117,-0.0087,216.0,0.7343,=
australian,demes_15_mr5_freq5,0.856,0.8581,-0.0021,79.5,0.3396,=,0.0865,0.1117,-0.0252,174.0,0.2367,=
australian,demes_5_mr10_freq1,0.8527,0.8581,-0.0054,49.0,0.0195,-,0.039,0.1117,-0.0727,74.5,0.0012,-
australian,demes_5_mr10_freq10,0.8556,0.8581,-0.0025,94.0,0.4537,=,0.0782,0.1117,-0.0335,168.5,0.2893,=
australian,demes_5_mr10_freq25,0.8562,0.8581,-0.0019,61.0,0.4612,=,0.0655,0.1117,-0.0463,100.5,0.0114,-
australian,demes_5_mr10_freq5,0.8579,0.8581,-0.0002,121.0,0.8579,=,0.0803,0.1117,-0.0315,145.0,0.2904,=
australian,demes_5_mr15_freq1,0.855,0.8581,-0.0031,91.5,0.4029,=,0.0431,0.1117,-0.0686,61.0,0.0004,-
australian,demes_5_mr15_freq10,0.8595,0.8581,0.0014,66.5,0.4071,=,0.0517,0.1117,-0.0601,92.0,0.0067,-
australian,demes_5_mr15_freq25,0.856,0.8581,-0.0021,68.5,0.7039,=,0.0475,0.1117,-0.0643,66.0,0.0011,-
australian,demes_5_mr15_freq5,0.8545,0.8581,-0.0037,71.0,0.2018,=,0.047,0.1117,-0.0647,94.0,0.0035,-
australian,demes_5_mr2_freq1,0.8552,0.8581,-0.0029,74.5,0.2473,=,0.0732,0.1117,-0.0385,154.5,0.173,=
australian,demes_5_mr2_freq10,0.8601,0.8581,0.0019,115.0,0.4821,=,0.1026,0.1117,-0.0091,215.0,0.9569,=
australian,demes_5_mr2_freq25,0.8585,0.8581,0.0004,76.5,0.6928,=,0.0951,0.1117,-0.0167,214.0,0.7035,=
australian,demes_5_mr2_freq5,0.8587,0.8581,0.0006,140.0,0.7734,=,0.0883,0.1117,-0.0235,198.0,0.6733,=
australian,demes_5_mr5_freq1,0.855,0.8581,-0.0031,129.5,0.3705,=,0.0789,0.1117,-0.0328,144.0,0.0687,=
australian,demes_5_mr5_freq10,0.857,0.8581,-0.0012,88.0,0.7768,=,0.0845,0.1117,-0.0273,198.0,0.4898,=
australian,demes_5_mr5_freq25,0.8579,0.8581,-0.0002,112.5,0.9165,=,0.0823,0.1117,-0.0295,162.5,0.1499,=
australian,demes_5_mr5_freq5,0.857,0.8581,-0.0012,107.0,0.7642,=,0.0871,0.1117,-0.0246,167.5,0.2796,=
pima,demes_10_mr10_freq1,0.7552,0.7542,0.001,137.5,0.9878,=,0.2245,0.3083,-0.0838,101.0,0.0058,-
pima,demes_10_mr10_freq10,0.754,0.7542,-0.0002,115.5,0.7199,=,0.2472,0.3083,-0.0611,110.0,0.0117,-
pima,demes_10_mr10_freq25,0.7517,0.7542,-0.0024,147.0,0.3105,=,0.2239,0.3083,-0.0845,60.0,0.0007,-
pima,demes_10_mr10_freq5,0.7563,0.7542,0.0021,146.5,0.4597,=,0.2725,0.3083,-0.0359,155.5,0.1132,=
pima,demes_10_mr15_freq1,0.7533,0.7542,-0.0009,156.5,0.6285,=,0.1835,0.3083,-0.1249,24.0,0.0,-
pima,demes_10_mr15_freq10,0.751,0.7542,-0.0031,147.0,0.312,=,0.2187,0.3083,-0.0896,64.0,0.0005,-
pima,demes_10_mr15_freq25,0.7526,0.7542,-0.0016,188.5,0.7399,=,0.1873,0.3083,-0.1211,26.0,0.0,-
pima,demes_10_mr15_freq5,0.7533,0.7542,-0.0009,160.5,0.7024,=,0.2145,0.3083,-0.0938,69.0,0.0004,-
pima,demes_10_mr2_freq1,0.7521,0.7542,-0.0021,142.0,0.5803,=,0.3247,0.3083,0.0164,203.0,0.544,=
pima,demes_10_mr2_freq10,0.7533,0.7542,-0.0009,160.5,0.7023,=,0.3323,0.3083,0.0239,183.0,0.3086,=
pima,demes_10_mr2_freq25,0.7564,0.7542,0.0023,109.0,0.3756,=,0.29,0.3083,-0.0183,193.5,0.4224,=
pima,demes_10_mr2_freq5,0.7521,0.7542,-0.0021,142.5,0.5896,=,0.3588,0.3083,0.0505,152.0,0.0978,=
pima,demes_10_mr5_freq1,0.7536,0.7542,-0.0005,152.0,0.7764,=,0.2736,0.3083,-0.0347,167.0,0.2748,=
pima,demes_10_mr5_freq10,0.7575,0.7542,0.0033,161.0,0.5,=,0.3424,0.3083,0.0341,171.0,0.2058,=
pima,demes_10_mr5_freq25,0.7547,0.7542,0.0005,168.0,0.8482,=,0.2748,0.3083,-0.0335,158.0,0.1254,=
pima,demes_10_mr5_freq5,0.7547,0.7542,0.0005,146.5,0.9201,=,0.3481,0.3083,0.0398,161.5,0.1442,=
pima,demes_15_mr10_freq1,0.7566,0.7542,0.0024,116.0,0.2089,=,0.2293,0.3083,-0.0791,108.0,0.0093,-
pima,demes_15_mr10_freq10,0.7502,0.7542,-0.004,152.0,0.2445,=,0.2758,0.3083,-0.0325,166.5,0.1746,=
pima,demes_15_mr10_freq25,0.7526,0.7542,-0.0016,182.0,0.6316,=,0.2521,0.3083,-0.0563,103.0,0.0077,-
pima,demes_15_mr10_freq5,0.7523,0.7542,-0.0019,159.5,0.6833,=,0.2882,0.3083,-0.0201,198.5,0.4843,=
pima,demes_15_mr15_freq1,0.7557,0.7542,0.0016,162.0,0.7311,=,0.2122,0.3083,-0.0961,84.0,0.0016,-
pima,demes_15_mr15_freq10,0.7497,0.7542,-0.0045,166.5,0.2687,=,0.2261,0.3083,-0.0822,81.5,0.0019,-
pima,demes_15_mr15_freq25,0.7486,0.7542,-0.0056,122.5,0.1093,=,0.2008,0.3083,-0.1075,34.0,0.0,-
pima,demes_15_mr15_freq5,0.7521,0.7542,-0.0021,98.5,0.5522,=,0.2232,0.3083,-0.0851,69.0,0.0008,-
pima,demes_15_mr2_freq1,0.7575,0.7542,0.0033,123.5,0.6583,=,0.3196,0.3083,0.0113,210.0,0.6554,=
pima,demes_15_mr2_freq10,0.7519,0.7542,-0.0023,145.5,0.4445,=,0.3321,0.3083,0.0238,179.0,0.2711,=
pima,demes_15_mr2_freq25,0.7524,0.7542,-0.0017,173.5,0.3401,=,0.3044,0.3083,-0.0039,221.5,0.821,=
pima,demes_15_mr2_freq5,0.7542,0.7542,0.0,187.5,0.9712,=,0.3549,0.3083,0.0465,151.0,0.0961,=
pima,demes_15_mr5_freq1,0.7523,0.7542,-0.0019,145.5,0.445,=,0.2607,0.3083,-0.0477,130.0,0.0345,-
pima,demes_15_mr5_freq10,0.7523,0.7542,-0.0019,98.5,0.2271,=,0.2947,0.3083,-0.0136,190.5,0.5593,=
pima,demes_15_mr5_freq25,0.749,0.7542,-0.0052,114.5,0.0723,=,0.2728,0.3083,-0.0355,158.5,0.128,=
pima,demes_15_mr5_freq5,0.7514,0.7542,-0.0028,161.0,0.3378,=,0.3084,0.3083,0.0001,232.0,0.9918,=
pima,demes_5_mr10_freq1,0.7524,0.7542,-0.0017,92.0,0.2619,=,0.1862,0.3083,-0.1221,62.0,0.0005,-
