dataset,config,n_runs,mean_acc,std_acc,mean_bd,std_bd
australian,demes_5_mr10_freq1,30,0.8527,0.0198,0.039,0.0333
australian,demes_5_mr10_freq10,30,0.8556,0.0214,0.0782,0.0626
australian,demes_5_mr10_freq25,30,0.8562,0.0208,0.0655,0.0472
australian,demes_5_mr10_freq5,30,0.8579,0.0192,0.0803,0.0714
australian,demes_5_mr15_freq1,30,0.855,0.0223,0.0431,0.0535
australian,demes_5_mr15_freq10,30,0.8595,0.0237,0.0517,0.0474
australian,demes_5_mr15_freq25,30,0.856,0.0196,0.0475,0.04
australian,demes_5_mr15_freq5,30,0.8545,0.0207,0.047,0.0513
australian,demes_5_mr2_freq1,30,0.8552,0.0204,0.0732,0.0632
australian,demes_5_mr2_freq10,30,0.8601,0.0197,0.1026,0.0596
australian,demes_5_mr2_freq25,30,0.8585,0.022,0.0951,0.0492
australian,demes_5_mr2_freq5,30,0.8587,0.0211,0.0883,0.0679
australian,demes_5_mr5_freq1,30,0.855,0.0218,0.0789,0.0657
australian,demes_5_mr5_freq10,30,0.857,0.021,0.0845,0.0586
australian,demes_5_mr5_freq25,30,0.8579,0.0219,0.0823,0.0497
australian,demes_5_mr5_freq5,30,0.857,0.0233,0.0871,0.0786
australian,tournament,30,0.8581,0.0232,0.1117,0.1049
pima,demes_10_mr10_freq1,30,0.7552,0.0272,0.2245,0.1068
pima,demes_10_mr10_freq10,30,0.754,0.0303,0.2472,0.0566
pima,demes_10_mr10_freq25,30,0.7517,0.0314,0.2239,0.0402
pima,demes_10_mr10_freq5,30,0.7563,0.0317,0.2725,0.081
pima,demes_10_mr15_freq1,30,0.7533,0.0303,0.1835,0.0664
pima,demes_10_mr15_freq10,30,0.751,0.028,0.2187,0.0491
pima,demes_10_mr15_freq25,30,0.7526,0.0337,0.1873,0.0455
pima,demes_10_mr15_freq5,30,0.7533,0.028,0.2145,0.0679
pima,demes_10_mr2_freq1,30,0.7521,0.0296,0.3247,0.1169
pima,demes_10_mr2_freq10,30,0.7533,0.0295,0.3323,0.0698
pima,demes_10_mr2_freq25,30,0.7564,0.0306,0.29,0.0603
pima,demes_10_mr2_freq5,30,0.7521,0.0276,0.3588,0.1008
pima,demes_10_mr5_freq1,30,0.7536,0.032,0.2736,0.0998
pima,demes_10_mr5_freq10,30,0.7575,0.0287,0.3424,0.0526
pima,demes_10_mr5_freq25,30,0.7547,0.0296,0.2748,0.0553
pima,demes_10_mr5_freq5,30,0.7547,0.0306,0.3481,0.0751
pima,demes_15_mr10_freq1,30,0.7566,0.0259,0.2293,0.1054
pima,demes_15_mr10_freq10,30,0.7502,0.0267,0.2758,0.0482
pima,demes_15_mr10_freq25,30,0.7526,0.0297,0.2521,0.041
pima,demes_15_mr10_freq5,30,0.7523,0.0295,0.2882,0.068
pima,demes_15_mr15_freq1,30,0.7557,0.0313,0.2122,0.0868
pima,demes_15_mr15_freq10,30,0.7497,0.0273,0.2261,0.0482
pima,demes_15_mr15_freq25,30,0.7486,0.0291,0.2008,0.0373
pima,demes_15_mr15_freq5,30,0.7521,0.0296,0.2232,0.0653
